full_site_name,site_code,management_unit,manager,lat,long,transect,sub_transect,quadrat_sub_transect,bearing,site_hash,fiona_notes,site.description
Pioneer Park Grassland,pioneer,North patch-East grassland,BRIMBANK,-37.68642,144.76125,23,a,1,100,54492,Burnt; spot sprayed September 2015; transect adjusted to avoid large Avena patch,"Lone roo sighted. Deep drainage hole filled with rocks, and some Eucalputus sp. Growing amongst the rocks. This patch avoided by transect. Denser vegetation in this patch compared to other surveyed patches, indicating longer time since biomass removal. Grassland dominated by Themeda."
Pioneer Park Grassland,pioneer,North patch-East grassland,BRIMBANK,-37.68648,144.76123,23,b,8,100,54492,Burnt; spot sprayed September 2015; transect adjusted to avoid large Avena patch,
Pioneer Park Grassland,pioneer,South patch-East grassland,BRIMBANK,-37.6867,144.76193,24,NA,NA,202,54492,Burnt autumn 2015?; sprayed September 2015,"Cracking soils, very rocky. Slope from north east corner down to southwest corner of eastern patch. Stellaria pungeons vs. asperula - saw both but called it asperula this was with Finley."
Laverton Creek Grassland,laverton,North,BRIMBANK,-37.80408,144.76054,25,NA,NA,350,18669,Burnt; rabbits,"Rocks removed? Presences of dry stone wall parralell to to creek. Senecio - large adults to 1m and (reeemitinace?) Industry, trucks, air pollution, patchy burn? Large avena clumps. Obvious convolvulous patches. North block burnt in weeks preceeding surveys - that patch not surveyed. Patch surveyed was burnt in 2013."
Cooper Street Grasslands,cooper,Central North,PV,-37.650595,144.972329,26,NA,NA,240,23219,Grazing -kangaroos? And rabbits,Undulating site. Slight slope to creek. Surrounded by industry along fenced edge. Cooper street to northern edge. Derocking along firebreaks being undertaken. Herbivory. especially of danthonias. Similar soil to Jukes Rd and Emma street.
craigieburn,Craigieburn Grasslands Nature Conservation Reserve,South,PV,-37.62296785,144.9604646,28,NA,NA,85,30263,"No apparent mgmt, heavy kangaroo grazing","Hiked for 1.5 hours through burn, loads of kangaroos (approx. 30) evidence of strong grazing. Transect on hill blue devil and convolvulous sighted, Acaena lillies and tricoryne. On top of stony rise pocked with small depressions, with sedge and moisture-loving plants such as isolepis, juncus sp. and dichondra repens."
Evans Street Native Grassland,evans,South West,HUME + FOES,-37.58227,144.724,29,NA,NA,25,23254,"Burnt, spot spraying, rabbit grazing. Transect re-located since waypoint appeared to be incorrect. Diuris fragrantissima re-introduction site (q10 37.58461/144.72459","SW Corner: 5m to W of peg, parallel to tracks and road. Slight slope to south. Obvious daisies, asters and peas still in flower. 2x transects."
Evans Street Native Grassland,evans,North East,HUME + FOES,-37.5833,144.72565,30,NA,NA,200,23254,"Burnt, spot spraying","Relatively heavy biomass cover, but obvious herbs, mostly asters in intertussock spaces."
Kalkallo Common Grassland,kalkallo,South,HUME + MCMC,-37.529719,144.955601,31,NA,NA,91,15902,"Burnt; grazed by kangaroos, rabbits and cattle (pulse grazed?)","Very heavy biomass cover, inter-tussock spaces absent, dominated by Themeda with large amounts of litter cover"
Kalkallo Common Grassland,kalkallo,North,HUME + MCMC,-37.52829,144.95605,32,NA,NA,270,15902,"Burnt; grazed by kangaroos, rabbits and cattle (pulse grazed?); spot sprayed","gilgai formations evident in southern half, low biomass cover, dominated by Themeda, Austrostipa with obvious forbs such as Eryngium ovinum."
Amberfield Grassland Reserve,amberfield,North,HUME,-37.596603,144.912079,33,NA,NA,11,3999,Mgmt=none,"High biomass patch, scattered, but large rocks (to 1m2), lots of avena, slight slope from east to west"
Jukes Road Grassland,jukes,East - BD10,MORELAND + MCMC,-37.702919,144.980718,34,NA,NA,305,92332,"Slashed, posibly burnt and spot sprayed","Very recent burn (autumn), with evidence of burning (charcoal), and low biomass cover. Low forb diversity from visual observation, but Geraniums are obvious."
Jukes Road Grassland,jukes,Central Plain - BD6,MORELAND + MCMC,-37.70249,144.97981,35,NA,NA,345,92332,NA,"heavy biomass, very large rocks (to 1-2m), snake sighted, kangaroo droppings present, and evidence of herbivory, likely by kangaroos. Diversity of native graminoids, especially Stipa. And Rytidosperma spp."
Amberfield Grassland Reserve,amberfield,South,HUME,-37.596982,144.911908,37,NA,NA,10,3999,Burnt abt 2 yrs ago?,"slope from NE to SE, lower biomass patch, recently burnt,"
Arcade Way Reserve,arcade,North patch,MVCC,-37.748532,144.854335,38,a,1,35,11371,NA,Very small Themeda patch constrained to undre the crop of tall eucalypt trees on the North East side of the playground. Otherwise very weedy with very high biomass.
Arcade Way Reserve,arcade,North patch,MVCC,-37.74881,144.85466,38,b,6,115,11371,NA,Very small Themeda patch constrained to undre the crop of tall eucalypt trees on the North East side of the playground. Otherwise very weedy with very high biomass.
Kalkallo Common Grassland,kalkallo,North,HUME + MCMC,-37.52861,144.9559,40,NA,NA,270,15902,"Burnt; grazed by kangaroos, rabbits and cattle (pulse grazed?); spot sprayed",
Kalkallo Common Grassland,kalkallo,South,HUME + MCMC,-37.5298,144.95564,41,NA,NA,91,15902,"Burnt; grazed by kangaroos, rabbits and cattle (pulse grazed?)",
Paramount Grassland,paramount,West,BRIMBANK,-37.78653,144.78365,42,NA,NA,0,60927,Burnt?; spot sprayed; rabbits,"Site broken into 2 sections. Lots of daisies in patchies, suspect seeding, Surrounded by industrial land. WC because burn didn't occur in last year!"
Cooper Street Grasslands,cooper,Central North,PV,-37.65403,144.97316,44,NA,NA,240,23219,Burnt? Kangaroo grazing?,
Cooper Street Grasslands,cooper,Central North,PV,-37.65586,144.97327,45,NA,NA,24,23219,"Past fire but not recent, weed control kangaroo browsing",
craigieburn,Craigieburn Grasslands Nature Conservation Reserve,South,PV,-37.62619,144.96008,46,NA,NA,189,30263,Burnt abt 2 years ago?,"Hiked for 1.5 hours through burn, loads of kangaroos (approx. 30) evidence of strong grazing. Transect on hill blue devil and convolvulous sighted, Acaena lillies and tricoryne. On top of stony rise pocked with small depressions, with sedge and moisture-loving plants such as isolepis, juncus sp. and dichondra repens."
craigieburn,Craigieburn Grasslands Nature Conservation Reserve,South,PV,-37.62378,144.95861,47,NA,NA,180,30263,"Past burning, woody weed control (Ulex and Rosa) ","Hiked for 1.5 hours through burn, loads of kangaroos (approx. 30) evidence of strong grazing. Transect on hill blue devil and convolvulous sighted, Acaena lillies and tricoryne. On top of stony rise pocked with small depressions, with sedge and moisture-loving plants such as isolepis, juncus sp. and dichondra repens."
