transect_number,site,management_unit,NG_pc_mean,NG_pc_sd,E_pc_mean,E_pc_sd,BG_pc_mean,BG_pc_sd,E_diversity,NF_diversity,years_since,management,year
14,T-Section ,E ,34.5,28.3,22.5,18.9,21.7,18,10,10,4.5,WC,2011
15,T-Section ,E ,44.7,24.3,6.2,4.2,47,24.9,9,5,4.5,WC,2011
16,Kayes Ck - Windsor Blvd,A ,36.7,27.2,56.7,26.6,7.4,4.8,5,5,4.5,WC,2011
17,Kayes Ck - Windsor Blvd,B,51,33.7,46.5,31.7,1.9,2.5,8,4,12,WC,2011
18,Paul & Belfrages,B,45,23,39.5,18,2.5,0.8,3,2,0,Grazing_WC,2011
19,Paul & Belfrages,B,41,15.8,23.5,9.4,5.6,2.4,3,2,0,Grazing_WC,2011
20,Paul & Belfrages,B,43,36.7,41.7,33.4,4.3,2.9,5,2,0,Grazing_WC,2011
21,Paul & Belfrages,A ,37.5,19.6,52,15.8,4.1,2.4,6,2,3.5,WC,2011
22,Paul & Belfrages,A ,37,22.1,48.5,14.5,5.4,2.3,7,2,3.5,WC,2011
23,Paul & Belfrages,A ,57,23.2,40.2,21.4,5.1,1.6,2,1,3.5,WC,2011
24,Joe Ryan's,C,4.3,10.9,90.1,11.8,5.6,3.6,6,1,0,Grazing_WC,2011
25,Joe Ryan's,C,3.6,9.3,80,8.8,5.3,1.8,4,1,0,Grazing_WC,2011
26,Joe Ryan's,C,11.7,22.8,69.1,21.9,8.6,11.3,4,1,0,Grazing_WC,2011
27,Joe Ryan's,E ,1.5,4.7,86.1,12.3,2.1,3.3,13,1,3.5,No_Management,2011
28,Joe Ryan's,E ,2.7,7.9,84.3,10.6,3.7,4.5,12,1,3.5,No_Management,2011
29,Joe Ryan's,B,69.5,26.4,31.5,22.9,4.8,1.5,2,2,1.5,WC,2011
30,Joe Ryan's,B,58.5,30,26.9,17.2,6.4,2.2,2,1,1.5,WC,2011
31,Joe Ryan's,B,59.5,24,27.5,25.6,5.2,3.8,4,2,1.5,WC,2011
32,Joe Ryan's,D ,14.7,24.8,59.5,32.3,3.5,3.9,6,4,2.5,WC,2011
33,Joe Ryan's,D ,4.5,4.4,65,26.5,3.6,2.6,4,1,2.5,No_Management,2011
34,Joe Ryan's,A ,8.5,14.7,74,17.1,2.1,2,9,1,5.5,No_Management,2011
35,Joe Ryan's,A ,1.8,4.7,84.5,9,1.4,1.1,9,1,5.5,No_Management,2011
36,Fitzgerald Road,NA,67,24.3,32.2,23.9,2.6,2,8,6,3.5,WC,2011
37,Fitzgerald Road,NA,89.4,14.9,10.4,14.8,0.7,1.6,7,6,3.5,WC,2011
38,Kayes Ck - Yeend Ct,NA,55,40.1,33.9,28.8,1.8,1.6,14,2,12,WC,2011
39,Kayes Ck and Imms Ck,B,9,28.5,71,28.6,2.6,4.5,6,1,5.5,No_Management,2011
40,Kayes Ck and Imms Ck,B,84.7,15.3,10.6,9.4,5.1,8.1,8,13,5.5,WC,2011
41,Kayes Ck and Imms Ck,A ,46.7,38.3,38.8,32.5,1.8,1.9,9,0,12,No_Management,2011
